area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct,oty_month2_emplvl_chg,oty_month2_emplvl_pct,oty_month3_emplvl_chg,oty_month3_emplvl_pct,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct
1000,0,10,50,0,2015,1,,Alabama -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,117333,1852589,1863201,1872879,20434225459,8731881237,177037321,844,,1,1,1,1,1,1,1,1,,1061,0.9,24784,1.4,29882,1.6,23537,1.3,722186539,3.7,160118141,1.9,-14808093,-7.7,18,2.2
2000,0,10,50,0,2015,1,,Alaska -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,21999,315614,319768,322085,4352037893,2786495892,57925410,1049,,1,1,1,1,1,1,1,1,,218,1,3673,1.2,3350,1.1,3024,0.9,149668714,3.6,73235885,2.7,-10848965,-15.8,25,2.4
4000,0,10,50,0,2015,1,,Arizona -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,149864,2578042,2599978,2605485,31212763538,11841031516,274112237,925,,1,1,1,1,1,1,1,1,,5012,3.5,61371,2.4,66343,2.6,63531,2.5,1039802941,3.4,328193832,2.9,6523093,2.4,8,0.9
5000,0,10,50,0,2015,1,,Arkansas -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,87425,1155752,1164995,1166518,11920397787,6378966662,172601714,789,,1,1,1,1,1,1,1,1,,967,1.1,21222,1.9,22084,1.9,14377,1.2,264632553,2.3,90284266,1.4,-25035571,-12.7,5,0.6
6000,0,10,50,0,2015,1,,California -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,1400009,15849428,15947403,16038327,250018397632,73590491088,3651286074,1206,,1,1,1,1,1,1,1,1,,34469,2.5,456184,3,462713,3,470823,3,15839940144,6.8,2845468330,4,38130473,1.1,42,3.6
8000,0,10,50,0,2015,1,,Colorado -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,183788,2435456,2447025,2457254,34056156039,15849663227,368812584,1071,,1,1,1,1,1,1,1,1,,6465,3.6,90863,3.9,92605,3.9,86279,3.6,2020893231,6.3,825005466,5.5,-33521355,-8.3,25,2.4
9000,0,10,50,0,2015,1,,Connecticut -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,114463,1635843,1630995,1640076,29381014326,11372143061,432258468,1382,,1,1,1,1,1,1,1,1,,1434,1.3,16471,1,15052,0.9,13103,0.8,692903146,2.4,73468278,0.7,-5190081,-1.2,20,1.5
10000,0,10,50,0,2015,1,,Delaware -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,30656,420265,420053,423469,6049807324,3069463321,57067122,1105,,1,1,1,1,1,1,1,1,,1274,4.3,10769,2.6,11505,2.8,11021,2.7,129316531,2.2,151781033,5.2,-5316975,-8.5,-5,-0.5
12000,0,10,50,0,2015,1,,Florida -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,650374,7902624,7971043,8022079,91624754779,36208566881,770179379,885,,1,1,1,1,1,1,1,1,,22049,3.5,282235,3.7,285338,3.7,280496,3.6,4867306130,5.6,-1071761803,-2.9,-323994106,-29.6,16,1.8
13000,0,10,50,0,2015,1,,Georgia -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,284390,4050496,4076330,4097365,52370246822,22198126906,465843268,989,,1,1,1,1,1,1,1,1,,6896,2.5,127607,3.3,146907,3.7,128080,3.2,2582866661,5.2,1100389233,5.2,-31706209,-6.4,17,1.7
15000,0,10,50,0,2015,1,,Hawaii -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,39066,628074,632492,635564,7238551110,4546300959,63253753,881,,1,1,1,1,1,1,1,1,,1160,3.1,8923,1.4,9765,1.6,9850,1.6,304640432,4.4,190949437,4.4,-13416731,-17.5,24,2.8
16000,0,10,50,0,2015,1,,Idaho -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,55374,635429,640025,649321,6137595033,4255826201,52137123,736,,1,1,1,1,1,1,1,1,,2126,4,16750,2.7,16349,2.6,18602,2.9,293500255,5,225168738,5.6,-7711490,-12.9,16,2.2
17000,0,10,50,0,2015,1,,Illinois -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,419634,5674555,5693023,5728591,83852403586,36847873305,1258706312,1132,,1,1,1,1,1,1,1,1,,10117,2.5,78719,1.4,82450,1.5,72196,1.3,3258325850,4,980033606,2.7,-174292937,-12.2,29,2.6
